nazwa firmy;adres;www;email;telefony;branże
ELEKTROINSTAL-BUD S.c. Z.Florczak, T.Chrobak;ul. Bolesławicka 12/16503-325 Warszawa;www.elektroinstal.entro.pl;None;['kom. 604 284 346', 'kom. 606 609 121', 'fax (22) 675 25 36', 'fax (22) 674 20 96'];['Instalacje elektryczne, urządzenia']
AC ROKA Sp. z o.o.;ul. Złota 2325-015 Kielce;www.acroka.pl;acroka@0P-P‘;['kom. 604 601 076', 'kom. 533 616 112'];['Audytorskie usługi', 'Doradztwo']
ADF LIDMAR;ul. Słowackiego 2205-120 Legionowo;www.lidmar.com.pl;kancelaria@lidmar.com.pl;['tel. (22) 784 17 50', 'tel. (22) 784 91 60', 'fax (22) 774 52 33'];['Audytorskie usługi', 'Finansowe usługi', 'Biura rachunkowe, doradztwo podatkowe']
Audmax Błażej Biliński;ul. Orzechowa 2 Królikowice55-040 Kobierzyce;www.audmax-bilinski.pl;biuro@audmax-bilinski.pl;['kom. 604 939 564', 'fax (71) 733 63 98'];['Audytorskie usługi', 'Szkolenia, kursy']
Biuro Audytorskie FK-Bad Sp. z o.o.;osiedle Słoneczne 331-956 Kraków - Nowa-Huta;www.fkbad.pl;fkbad@fkbad.p|;['tel. (12) 680 34 70', 'fax (12) 644 82 04'];['Audytorskie usługi']
CM AUDIT Sp. z o.o.;ul. Głogowska 18960-121 Poznań - Grunwald;www.cmaudit.pl;kancelaria@cmaudit.pl;['tel. (61) 223 88 82', 'kom. 603 287 344'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
FABER Zespół Biegłych Rewidentów Sp. z o.o.;ul. Pretficza 753-328 Wrocław - Krzyki;www.faber.com.pl;poczta@faber.com.pl;['tel. (71) 343 32 17', 'tel. (71) 343 71 11', 'tel./fax (71) 343 05 06'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
Kancelaria Biegłego Rewidenta REWIKAM Robert Kamela;ul. Warszawska 5305-300 Mińsk Mazowiecki;www.rewikam.com.pl;kancelaria_rewikam@op.pl;['kom. 660 677 915', 'tel. (25) 751 45 54', 'tel./fax (25) 758 75 76'];['Audytorskie usługi']
Biegły Rewident Beata Dobrowolska-Kusz Kancelaria Finansowo-Podatkowa;ul. Jeziorna 162-100 Wągrowiec;Google Sites;kancelaria.bdk@vp.pl;['kom. 600 933 325'];['Audytorskie usługi']
Biuro Audytorsko-Finansowe SKONTO-FICADEX Sp. z o.o.;ul. Baśniowa 302-349 Warszawa - Ochota;www.skonto.com.pl;skonto@skonto.com.pl;['tel./fax (22) 822 38 26', 'tel. (22) 668 70 95'];['Audytorskie usługi', 'Finansowe usługi']
