Марка;Ссылка;Цена в дол;Цена в грн;Город;Состояние;Характеристики;Фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1825707.html;32 354 $;881 000 грн;Полтава;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1864026.html;31 833 $;866 810 грн;Івано-Франківськ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1864030.html;28 575 $;778 090 грн;Івано-Франківськ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863421.html;21 281 $;579 490 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1864024.html;25 435 $;692 590 грн;Івано-Франківськ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1850656.html;13 999 $;381 200 грн;Харків;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853547.html;20 823 $;567 000 грн;Полтава;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1857800.html;20 198 $;550 000 грн;Черкаси;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1858824.html;13 772 $;375 000 грн;Черкаси;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1825717.html;13 735 $;374 000 грн;Полтава;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860950.html;31 836 $;866 910 грн;Харків;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1861768.html;14 504 $;394 950 грн;Харків;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858814.html;21 213 $;577 630 грн;Черкаси;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862690.html;21 282 $;579 520 грн;Вінниця;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1860946.html;20 590 $;560 680 грн;Харків;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
