Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Скидка;Наличие на складе
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер: Для профессионалов;2457;3150;-22%;На складе
Data Science для карьериста;Нолис Жаклин;Питер: Библиотека программиста;1945;2494;-22%;На складе
Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим;ДМК-Пресс;1888;Нету старой цены;-5%;На складе
Аналитика в Power BI с помощью R и Python;Уэйд Райан;ДМК-Пресс;2454;Нету старой цены;-5%;На складе
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;ДМК-Пресс;2832;Нету старой цены;-5%;На складе
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;ДМК-Пресс;2832;Нету старой цены;-5%;На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич;Лань: Компьютеры и программное обеспечение;3326;Нету старой цены;-5%;Ограничено
Python, например;Лейси Никола;Питер: Библиотека программиста;987;1265;-21%;На складе
Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Диалектика;3200;Нету старой цены;-5%;На складе
Знакомство с программированием на языке Processing;Риас Кейси;ДМК-Пресс;1415;Нету старой цены;-5%;На складе
Arduino. Большая книга рецептов;Марголис Майкл;BHV;1960;Нету старой цены;-5%;На складе
Active Directory глазами хакера;Hacker Ralf;BHV: Глазами Хакера;490;Нету старой цены;-5%;На складе
Web-сервер глазами хакера;Фленов Михаил Евгеньевич;BHV: Глазами Хакера;700;Нету старой цены;-5%;На складе
JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа;Питер: Библиотека программиста;2805;3596;-21%;На складе
Введение в язык Си++;Столяров Андрей Викторович;ДМК-Пресс;1363;Нету старой цены;-5%;На складе
Оформление программного кода;Столяров Андрей Викторович;ДМК-Пресс;1136;Нету старой цены;-5%;На складе
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;ДМК-Пресс;3421;Нету старой цены;-5%;На складе
Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора: Книги-драйверы;819;Нету старой цены;-5%;На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер: Бестселлеры O`Reilly;1790;2295;-22%;На складе
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Деловой двор;287;368;-22%;На складе
Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;ДМК-Пресс;2832;Нету старой цены;-5%;На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна;Колос: Учебники и учебные пособия для студентов вузов;2710;Нету старой цены;-5%;На складе
ВОСХОД программиста;Земцов А. Н.;Деловой двор: Хочу в СССР;817;1047;-21%;На складе
JavaScript с нуля;Чиннатамби Кирупа;Питер: Библиотека программиста;1223;1568;-22%;На складе
Наглядный CSS;Сидельников Грег;Питер: Библиотека программиста;1112;1425;-21%;На складе
Scala. Профессиональное программирование;Одерски Мартин;Питер: Библиотека программиста;4219;5409;-22%;На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань: Компьютеры и программное обеспечение;3129;Нету старой цены;-5%;Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань: Компьютеры и программное обеспечение;2982;Нету старой цены;-5%;На складе
Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна;Лань: Компьютеры и программное обеспечение;1590;Нету старой цены;-5%;На складе
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;ДМК-Пресс;2040;Нету старой цены;-5%;На складе
Обработка и представление данных в MS Excel. СПО;Бурнаева Эльфия Гарифовна;Лань: Компьютеры и программное обеспечение;1173;Нету старой цены;-5%;На складе
Вычисления в кольцах некоммутативных многочленов;Цирулик Владимир Григорьевич;Лань: Компьютеры и программное обеспечение;3230;Нету старой цены;-5%;Ограничено
Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;BHV;3041;Нету старой цены;-5%;На складе
Разработка веб-приложений на WordPress;Мессенленер Брайан;BHV;1664;Нету старой цены;-5%;На складе
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Вильямс;6914;Нету старой цены;-5%;На складе
PowerShell для сисадминов;Бертрам Адам;Питер: Для профессионалов;1840;2359;-22%;На складе
Защита данных. От авторизации до аудита;Андресс Джейсон;Питер: Для профессионалов;1223;1568;-22%;На складе
Создаем динамические веб-сайты на PHP;Татро Кевин;Питер: Бестселлеры O`Reilly;1840;2359;-22%;На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань: Компьютеры и программное обеспечение;2140;Нету старой цены;-5%;На складе
HTTP/2 в действии;Поллард Барри;ДМК-Пресс;2651;Нету старой цены;-5%;На складе
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;ДМК-Пресс;1710;Нету старой цены;-5%;На складе
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер: Библиотека программиста;2210;2833;-21%;На складе
Python. Лучшие практики и инструменты;Яворски Михаил;Питер: Библиотека программиста;2210;2833;-21%;На складе
Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;ДМК-Пресс;2040;Нету старой цены;-5%;На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;BHV: Профессиональное программирование;1497;Нету старой цены;-5%;На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;BHV: С нуля;1130;Нету старой цены;-5%;На складе
Атаки на веб и WordPress;Нету автора;BHV: Библиотека журнала «Хакер»;741;Нету старой цены;-5%;На складе
Linux глазами хакера;Фленов Михаил Евгеньевич;BHV: Глазами Хакера;988;Нету старой цены;-5%;На складе
Вероятностное программирование;Колбин Вячеслав Викторович;Лань: Математика;3096;Нету старой цены;-5%;Ограничено
Восстановление данных. Практическое руководство;Касперски Крис;BHV;917;Нету старой цены;-5%;На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань: Компьютеры и программное обеспечение;3955;Нету старой цены;-5%;На складе
