Name;Date;Place;Age;Contacts
Latitude Festival;Thursday 22nd - Sunday 25th July 2021;Henham Park in Beccles;No age restrictions;"Name: Henham Park; Address: Beccles, Suffolk, Beccles, NR34 8AN; Phone: 07900 553 426; Venue short url: https://www.skiddle.com/venues/8718/; Type of venue: Outdoors; "
Bluedot Festival;Thursday 22nd - Sunday 25th July 2021;Jodrell Bank Observatory in Macclesfield;No age restrictions;"Name: Jodrell Bank Observatory; Phone: 01477 571339; Venue short url: https://www.skiddle.com/venues/6169/; Type of venue: Outdoors; Dress code: Anything; Food served: Variety food stalls; Nearest Train Station: Goostrey on the Manchester to Crewe line; Address: Jodrell Bank Observatory, Jodrell Bank, Lower Withington, Macclesfield, SK11 9DL; Website: http://www.jodrellbank.net; Music Policy: Alternative rock; Ambiance: It feels like visiting a space station; Drinks served: Bars; Parking: Yes; "
Standon Calling festival;Thursday 22nd - Saturday 24th July 2021;Standon Lordship in Hertfordshire;Minimum age: 1;"Name: Standon Lordship; Phone: -; Capacity: 5000; Drinks served: Yes; Address: Standon, Hertfordshire, SG11 1EE; Venue short url: https://www.skiddle.com/venues/31370/; Type of venue: Outdoors; Food served: Yes; "
Cloudspotting Music and Arts Festival;Friday 23rd - Sunday 25th July 2021;Gisburn Forest Hub in Clitheroe;No age restrictions;"Name: Gisburn Forest Hub; Phone: 01200 446533; Venue short url: https://www.skiddle.com/venues/94142/; Music Policy: Eclectic (this site is only used for music on special occasions); Ambiance: Chilled; Clientele: All ages; Drinks served: A cafe operates 7 days a week between 10am and 4pm; Disabled facilities: Yes; Nearest Bus Stop: Dale Head; Address: Stephen Park, Dale Head, Slaidburn, Clitheroe, BB7 4TS; Website: http://gisburnforesthub.co.uk; Capacity: 1,000; Type of venue: Outdoors; Dress code: Not applicable; Opening hours: 10am-4pm; Food served: Yes; Parking: Yes (There is a pay and display car park); Nearest Train Station: Clitheroe ; "
SFest Music Festival;Friday 23rd - Saturday 24th July 2021;Stourport Swifts Football Club in Stourport-on-Severn;No age restrictions;"Name: Stourport Swifts Football Club; Phone: 07912 890997; Venue short url: https://www.skiddle.com/venues/99654/; Type of venue: Sports; Address: Harold Davies Drive, Stourport-on-Severn, DY13 0AA; Website: https://www.stourportswiftsfc.co.uk/; Capacity: 2000; "
Truck Festival;Friday 23rd - Sunday 25th July 2021;Hill Farm in Oxfordshire;No age restrictions;"Name: Hill Farm; Address: Steventon, Oxfordshire, OX13 6AB; Phone: ; Venue short url: https://www.skiddle.com/venues/77569/; Type of venue: Outdoors; "
Tramlines Festival;Friday 23rd - Sunday 25th July 2021;Various Sheffield Venues in Sheffield;No age restrictions;"Name: Various Sheffield Venues; Address: West Street, Sheffield, S1 4EB; Phone: 07595632636; Venue short url: https://www.skiddle.com/venues/44352/; Type of venue: Nightclub; "
Carl Cox - Brighton Beach festival;Friday 23rd July 2021;Brighton Beach in Brighton;Minimum age: 18;"Name: Brighton Beach; Phone: ; Capacity: 10000; Address: Madeira Drive, Brighton, BN2 1TW; Venue short url: https://www.skiddle.com/venues/71137/; Type of venue: Outdoors; "
PennFest festival;Friday 23rd - Sunday 25th July 2021;The Big Park in Penn;No age restrictions;"Name: The Big Park; Address: Horsemoor Lane, Penn Street, Amersham, Buckinghamshire, Penn, HP7 0PL; Phone: ; Venue short url: https://www.skiddle.com/venues/76914/; Type of venue: Outdoors; "
Wonderwood festival;Saturday 24th July 2021;Valiants Farm in Preston;Minimum age: 18;"Name: Valiants Farm; Phone: ; Capacity: 5000; Address: Valiants Farm, Lancaster Road, Out Rawcliffe, Preston, PR3 6BL; Venue short url: https://www.skiddle.com/venues/79339/; Type of venue: Live; "
Sequences present Chase & Status dj set plus huge support festival;Saturday 24th July 2021;Greville Smyth Park in Bristol;Minimum age: 18;"Name: Greville Smyth Park; Phone: ; Venue short url: https://www.skiddle.com/venues/104501/; Music Policy: Varied; Ambiance: outdoors; Clientele: Over 18s only; Drinks served: Yes; Disabled facilities: Step free access; Nearest Train Station: Parson Street; Address:  Ashton Road, Bristol, BS3 2EQ; Website: http://www.grevillesmyth.live; Capacity: 6000; Type of venue: Outdoors; Dress code: Any; Opening hours: 12:00-22:00; Food served: Yes; Parking: No parking available; "
On The Beach - Saturday festival;Saturday 24th July 2021;Brighton Beach in Brighton;Minimum age: 18;"Name: Brighton Beach; Phone: ; Capacity: 10000; Address: Madeira Drive, Brighton, BN2 1TW; Venue short url: https://www.skiddle.com/venues/71137/; Type of venue: Outdoors; "
Katherine Jenkins plus Special Guests  festival;Sunday 25th July 2021;Promenade Park in Maldon;No age restrictions;"Name: Promenade Park; Address: Park Drive, Maldon, CM9 5JQ; Phone: 01245 457408; Venue short url: https://www.skiddle.com/venues/25718/; Type of venue: Outdoors; "
On The Beach - Sunday festival;Sunday 25th July 2021;Brighton Beach in Brighton;Minimum age: 18;"Name: Brighton Beach; Phone: ; Capacity: 10000; Address: Madeira Drive, Brighton, BN2 1TW; Venue short url: https://www.skiddle.com/venues/71137/; Type of venue: Outdoors; "
Y Not Festival;Thursday 29th July - Monday 2nd August 2021;Y Not Festival in Pikehall Matlock;No age restrictions;"Name: Y Not Festival; Address: Mouldridge Lane , Pikehall Matlock, DE4 2PH; Phone: n a; Venue short url: https://www.skiddle.com/venues/13235/; Type of venue: Outdoors; "
Outlook Origins festival;Thursday 29th July - Monday 2nd August 2021;Tisno in Tisno;Minimum age: 18;"Name: Tisno; Address: Croatia, Tisno, BN1 3TT; Phone: ; Venue short url: https://www.skiddle.com/venues/88259/; Type of venue: Nightclub; "
Summer Sound festival;Friday 30th - Saturday 31st July 2021;Gisborough Priory in Guisborough;Minimum age: 16;"Name: Gisborough Priory; Phone: 07855 494494; Venue short url: https://www.skiddle.com/venues/53824/; Music Policy: Rock, Pop and Disco; Dress code: No dress code. Fancy Dress optional.; Opening hours: 2pm till 11pm; Food served: Yes. Outdoor food village plus option to bring your own picnic.; Parking: Parking locally and at nearby college.; Address: Church Street, Guisborough, TS14 6HG; Website: https://www.english-heritage.org.uk/visit/places/gisborough-priory; Capacity: 2500; Type of venue: Outdoors; Clientele: Over 16's; Drinks served: Yes. Licenced bar plus option to bring your own drink.; Disabled facilities: Access restricted in some areas due to uneven ground.; "
Big Family Festival;Friday 30th July - Sunday 1st August 2021;To Be Announced  in Kingsbury;No age restrictions;"Name: To Be Announced ; Phone: ; Capacity: 4500; Address: Kingsbury, Curdworth, Kingsbury, B76 0BA; Venue short url: https://www.skiddle.com/venues/65084/; Type of venue: Outdoors; "
Farmfest festival;Friday 30th - Saturday 31st July 2021;Bruton Somerset UK in Somerset;No age restrictions;"Name: Bruton Somerset UK; Address: Bruton, Somerset, AB10 uty; Phone: N/A; Venue short url: https://www.skiddle.com/venues/55472/; Type of venue: Outdoors; "
Festival Of Wheels;Friday 30th July - Sunday 1st August 2021;Trinity Park in Ipswich;No age restrictions;"Name: Trinity Park; Phone: 01473 707119; Capacity: 4,999; Address: Felixstowe Road, Ipswich, IP3 8UH; Venue short url: https://www.skiddle.com/venues/7432/; Type of venue: Live; "
Buckle & Boots Country Festival;Friday 30th July - Sunday 1st August 2021;Whitebottom Farm in Stockport;No age restrictions;"Name: Whitebottom Farm; Address: Etherow Country Park, Compstall, Stockport, SK6 5HZ; Phone: ; Venue short url: https://www.skiddle.com/venues/58626/; Type of venue: Outdoors; "
Acropolis Festival;Saturday 31st July 2021;Tutbury Castle in Tutbury;Minimum age: 18;"Name: Tutbury Castle; Address: Tutbury, staffs, Tutbury, DE13 9JF; Phone: 01283 812129; Venue short url: https://www.skiddle.com/venues/13002/; Type of venue: Outdoors; "
Hifields Festival 2021;Saturday 31st July - Sunday 1st August 2021;Chippenham Park in Newmarket;Minimum age: 18;"Name: Chippenham Park; Address: Chippenham Park, Newmarket, CB7 5PT; Phone: ; Venue short url: https://www.skiddle.com/venues/101701/; Type of venue: Outdoors; "
Hastings Reggae Festival 2021;Saturday 31st July 2021;The Oval in Hastings;No age restrictions;"Name: The Oval; Phone: ; Capacity: 5000; Type of venue: Outdoors; Clientele: All Welcome; Drinks served: All; Disabled facilities: Yes; Nearest Train Station: Hastings - 5 Minutes Walk. St Leonards - 5 Mins Walk; Address: Bohemia Road, Hastings, TN34 1EU; Venue short url: https://www.skiddle.com/venues/83390/; Music Policy: Music; Dress code: None; Opening hours: 12:00 -23:00; Food served: Varied; Parking: Plenty; "
VillagePeopleWeekend 2021 festival;Saturday 31st July 2021;Sackville Gardens in Manchester;Minimum age: 18;"Name: Sackville Gardens; Address: Whitworth Street, Manchester, M1 3HB; Phone: ; Venue short url: https://www.skiddle.com/venues/101014/; Type of venue: Outdoors; "
